glyph_hash|font_name|GlyphName|unicode_hex|AGL_name
009eae84ab85056bef244ecfe69228cb|BGCJNL+Arial.tu.n.0317.5|G100|0064|d
00a054f03fb1e27f5096319d0efd7e02|GKCMAE+Arial068.313|G232|010d|ccaron
00a1c5cdf68cdf0490271c9d4693c657|BGGPJO+Arial.tu.n..kurz.va035.813|G109|006d|m
00a38cc44438474dd31705ec4f42d71c|AOJNOM+Arial.tu.n.0300|G66|0042|B
00a7f92feb0bea91944652144561a893|CJNPCO+Arial025|G67|0043|C
00a97806a0dec75618c08aaf31e23241|ALNHCJ+Arial034.563|G60|003c|less
00aed9a0005481c53d32c768cfbade13|AMEIAD+Arial.Narrow.tu.n.0211.625|G53|0035|five
00aee3795bf01b0db146fed3ee9b9c7d|DFIEHD+Arial062.5|G51|0033|three
00b083148854d8d800fc28645be2579e|ADKPCD+Arial.tu.n.075|G33|0021|exclam
00b1621ba1a1abf652c0d88514b51d7e|AHBLCH+Arial034.188|G85|0055|U
00b3346861fda175638c03d8bd92a274|ADFLOJ+Arial.tu.n..kurz.va070.813|G85|0055|U
00b51abb578b99e50f858eccf98abd91|ADLAAI+Arial053.313|G52|0034|four
00b59d023631c9dd468803e3e1fdb9ef|AJFIDI+Arial.kurz.va035.813|G253|00fd|yacute
00b8feb835c7d38ddfb964ccdb97b57f|BHFJDK+Arial.tu.n.079.125|G97|0061|a
00ba95ed00ebf8b6121804478a77e613|AKMKKK+Lucida.Console025|G49|0031|one
00c9f609d26b583c023ee110a2a67750|ALMOBP+Arial.tu.n.0822.938|G114|0072|r
00d0758f21b253170437ef5b8f4cb97f|ACMOFF+Arial.tu.n.039.563|G74|004a|J
00d1c1a6754062eb6a175d8b76016b06|BBEONA+Arial.tu.n.0162.438|G75|004b|K
00d1fa6f181a561e44ecca4101465508|AOMAOD+Arial043.313|G67|0043|C
00d5edca89d9ecfb98635dbaa3ced848|AGAGLC+Arial.tu.n.0116.688|G110|006e|n
00d7618b21f41a935970885d70e4b77c|AOKELH+Arial.tu.n.0466.625|G118|0076|v
00d9333fe6186c742c682eb80ff83432|FCNHKI+Arial079.188|G158|017e|zcaron
00da8665be3ff3eb7f24627ba0d1eaa6|FPANFN+Arial.Narrow037.5|G62|003e|greater
00db3b477dda433ac3fa7d40d2a24ae2|BGBFGH+Arial.tu.n.083.313|G75|004b|K
00db3e7c156fdf9ffb66819d8c1c9b6a|BGFDKC+Arial.tu.n..kurz.va025|G51|0033|three
00df7a2bdcac1b312428fe24b375bf39|AHALHP+Arial025|G87|0057|W
00e003d53e958e6c0a46d28de388a631|AHELAO+Arial.kurz.va035|G118|0076|v
00e3107d118ed4dd947cb32e4f0c1329|AMKFGH+Arial.tu.n.083.313|G104|0068|h
00e42a05bdd189d94264824c63927e16|BGBDMF+Arial.tu.n.050|G80|0050|P
00e4cf555b15a0dddf373835cfbdfaee|BGBDOG+Arial033.313|G79|004f|O
00e6eeb44bdfef7e7e01ba809565f9d1|DHCIOI+Arial.kurz.va035.438|G237|00ed|iacute
00e7131541eed96063fcc8f031e49ac6|BGBDHE+Arial.tu.n.041.688|G99|0063|c
00e7ec80c240f2652bd3f61176a1823b|ENABBK+Arial.tu.n.060.375|G237|00ed|iacute
00e8eb515c612d1482cf923fe26012e9|AJEIDJ+Lucida.Console0246.938|G80|0050|P
00ea0e6fc0c14ce774456cb9147b1a85|DEJMDM+Arial021.688|G53|0035|five
00ececb9cfd52c767fd55f1f6b0073d6|AKIJAJ+Arial.tu.n.0150|G237|00ed|iacute
00ed579e42f7728bcf5d64c8b6e5bbf9|ADKHCF+Arial.tu.n.0100|G157|0165|tcaron
00ef247f87cbfb0d07caa5e9561e70bf|BOPGMF+Arial.tu.n.0333.313|G205|00cd|Iacute
00efaaea1527d8d9b07e311db70b96fb|BMGDLG+Arial.tu.n.0112.5|G84|0054|T
00f120f4e98e92b631e2cdc7502e90b4|AOOBPO+Lucida.Console075|G92|005c|backslash
00f171d3e7b109699ab5b255c4b3e7ed|AHALEA+HelveticaInseratTTEE062.5|G110|006e|n
00f35dd5512b4a29f78e1642c56623c1|ACJFAF+Arial.tu.n..kurz.va039.563|G45|002d|hyphen
00f51924bee591498cc80843c50a2b9e|AHBLCH+Arial034.188|G117|0075|u
00f9b53cf1f4cb29c6f628620de293aa|ADLAGL+Arial.tu.n.0200|G249|016f|uring
00fbd6cb360988b0729fefc75218c712|AEALGJ+Arial.tu.n.066.688|G101|0065|e
00fece16265f8add20caed2495937c2f|CFMHLE+HelveticaInseratTTEE075|G56|0038|eight
0102e363d2ea83691566e4f70c4d5a6d|AEIEGI+Lucida.Consoleb066.688|G40|0028|parenleft
0104b4062c992ad28e79775b1ac1ebf4|ACJOBL+Arial.tu.n.029.188|G80|0050|P
0107c490c543cdbda26df338eb59ba06|BKEDGC+Arial033.75|G60|003c|less
0107fbb41f64c1ac284c1f62cbf49398|BKLJPF+Arial.tu.n.0388.063|G237|00ed|iacute
010ad1299b62de9aa96d3a09256b5249|BBINPI+Arial.tu.n.062.5|G53|0035|five
010f8644b8f3b12d9809d667fa96153a|ACFJDF+Arial.tu.n..kurz.va035.438|G56|0038|eight
010fd0cba835d6bc59f60517bd8bb578|CDOCHK+HelveticaInseratTTEE050|G56|0038|eight
01146612a859467ce4280f4996e033ee|AGGGNK+Arial026.688|G70|0046|F
0117b1ab3f2a905f435c353e04deef5c|BKEDGC+Arial033.75|G147|201c|quotedblleft
0117bff65eb6b5ce45669583bf3ed976|BNIHKP+Arial.tu.n.0529.125|G109|006d|m
0119e6b954389aea6f029da4b13870b3|CECBGN+Arial.tu.n.031.688|G68|0044|D
011ec2a56da6d9a7fce8fbdd3140218b|AEALGJ+Arial.tu.n.066.688|G58|003a|colon
01239a966a38f698ca2ed822b77f52b1|BODLNN+Arial021.688|G48|0030|zero
0123e448e8c46a9affcb8b6a9443bdc5|AJEDOL+Arial0299.875|G86|0056|V
012526674b4e9af224ca8917c551b017|EHLBOL+Arial.tu.n.054.125|G121|0079|y
012a7c9d834fd535a471c3dff7e36611|CGMGBD+Arial048.313|G100|0064|d
012c28165948764beaf59bf550d47e5b|BMCLPC+Arial031.25|G104|0068|h
0131b3c998bd7453024d440039768c07|AFLBNJ+HelveticaInseratTTEE058.313|G85|0055|U
