glyph_hash|font_name|GlyphName|unicode_hex|AGN
6e1107dc66dd7a4e4f01a704d3920b77|GKMGFO+Arial072.5|G51|0033|three
cdec16c7f773c923804f92dc3cd2f242|GKMGFO+Arial072.5|G52|0034|four
8b3f635d359fc50cf856ba1ebb93c41f|GKMGFO+Arial072.5|G53|0035|five
e2bb7fe7144dbc8ca56bd6f5944fa7a0|GKMGFO+Arial072.5|G55|0037|seven
813346c46ccf9170d64e85865dcbf0b0|GKMGFO+Arial072.5|G56|0038|eight
2494a329893265160b89eac6d2ff6bdd|GKMGFO+Arial072.5|G57|0039|nine
0dc2d0628b8ba18766b93df2acb513e8|GKMGFO+Arial072.5|G67|0043|C
b39d214d2fb62b81c3536a250d479436|GKMGFO+Arial072.5|G68|0044|D
61c620ceff0985464e5569f36c210a15|GKMGFO+Arial072.5|G69|0045|E
08dab55d7579af63e24d3fa32a7922df|GKMGFO+Arial072.5|G71|0047|G
c88474b79033ae23fe9417730fdc0a65|GKMGFO+Arial072.5|G72|0048|H
9e29e1e26e140c6e0dc62221b8d227f3|GKMGFO+Arial072.5|G75|004b|K
347eb1d34c3bf71655ee3401dbc5ce0e|GKMGFO+Arial072.5|G77|004d|M
93036252d7d4e434b73f5aae63a92255|GKMGFO+Arial072.5|G78|004e|N
300fc6e1c8b7a7c0c99f5f7abd23dacd|GKMGFO+Arial072.5|G79|004f|O
dc6498c8313f1a87e754fcac93b59aa2|GKMGFO+Arial072.5|G80|0050|P
f2fdd633f6d6d9f49ac243c299302b8f|GKMGFO+Arial072.5|G82|0052|R
e68a5db9d61a381ae434e7f293f6e55a|GKMGFO+Arial072.5|G83|0053|S
63ad855952563833dff3e0e3032ce0a3|GKMGFO+Arial072.5|G84|0054|T
edb0b006ff7deff04bab035ee2f05316|GKMGFO+Arial072.5|G86|0056|V
b6c593b8a7a2aca7b431aca9f2744193|GKMGFO+Arial072.5|G87|0057|W
f45c706ee1d3dc20854b9a512c41cc54|GKMGFO+Arial072.5|G90|005a|Z
790e4dc8cc9719f7089344fbca9a8334|GKMGFO+Arial072.5|G97|0061|a
c56074399fa50ee0ab103e7832da846e|GKMGFO+Arial072.5|G98|0062|b
078881090bab9106beea94d9f2a8729c|GKMGFO+Arial072.5|G99|0063|c
cc38b3fd35890311f763d6ac20eacfc8|GKMGFO+Arial072.5|G100|0064|d
e6c40ed9399fd43fcbbf3ba437f85dff|GKMGFO+Arial072.5|G101|0065|e
b1c75db843a828f003e79046f9cce64c|GKMGFO+Arial072.5|G102|0066|f
ba65c7b78e99af62f8019f45c90f05c1|GKMGFO+Arial072.5|G103|0067|g
5dd06e445a479fa1eff84f9c835f6bb9|GKMGFO+Arial072.5|G104|0068|h
092f530606da094ab1bc79ebc24f206f|GKMGFO+Arial072.5|G105|0069|i
75d8f1860652042ec678b9ad53d89a13|GKMGFO+Arial072.5|G106|006a|j
67aced295ffc9d165159074401ed7fca|GKMGFO+Arial072.5|G107|006b|k
4c251d2562fc496fe1e589530ad36f4d|GKMGFO+Arial072.5|G108|006c|l
1217a81f9ca48d3e6cdd61ef893b852f|GKMGFO+Arial072.5|G109|006d|m
821e09245bda747a5c8d5921d62c9851|GKMGFO+Arial072.5|G110|006e|n
f5a155d4a80797a67e305a28253d19e9|GKMGFO+Arial072.5|G111|006f|o
903791e27170ebd00dafd7ab5d221e0b|GKMGFO+Arial072.5|G112|0070|p
ecdf8f7ebe961917ec2ba9b7b713a10f|GKMGFO+Arial072.5|G114|0072|r
c610547477897e3561ff18b7e3aa379e|GKMGFO+Arial072.5|G115|0073|s
548ec1b69059a8d20c91b2b519560637|GKMGFO+Arial072.5|G116|0074|t
2211e2cfe719c4e0052f903c1c0ce27f|GKMGFO+Arial072.5|G117|0075|u
5c681aabaa07154d6f004a5bf38bdeed|GKMGFO+Arial072.5|G118|0076|v
7213cf2b32d25bea792288d704ba7e21|GKMGFO+Arial072.5|G120|0078|x
ae7da3847cb4f0e6ae9b6a5da906bec0|GKMGFO+Arial072.5|G121|0079|y
9dedde492c50f4dbb17ec0f5c974cd9e|GKMGFO+Arial072.5|G122|007a|z
a085b1bf7777661ed17e8b0fa8829044|GKMGFO+Arial072.5|G154|0161|scaron
270f68c3cfb68d136dcbbe3735957643|GKMGFO+Arial072.5|G157|0165|tcaron
ea3b831da47e87fc38540174f42250aa|GKMGFO+Arial072.5|G158|017e|zcaron
29cc20f8fdd05c9bc899326e7de41467|GKMGFO+Arial072.5|G200|010c|Ccaron
ddf8212f2b8e8d08d435e73e0ec104ff|GKMGFO+Arial072.5|G218|00da|Uacute
51bae5484c84a078db5f656dcf13a77e|GKMGFO+Arial072.5|G225|00e1|aacute
bcbe4a8c29d7d0b6f9b714a716a508c3|GKMGFO+Arial072.5|G232|010d|ccaron
e9a3892312c0ca6b9d210b9f0b4afafc|GKMGFO+Arial072.5|G233|00e9|eacute
77b8c0d4297490c2b1e9996ac24bb529|GKMGFO+Arial072.5|G236|011b|ecaron
dec78e6779abcd289750eca46effe619|GKMGFO+Arial072.5|G237|00ed|iacute
6514f1a6029054fd9aae9e00ee7308a9|GKMGFO+Arial072.5|G242|0148|ncaron
8b9a1e01f8f7c16b6a64deb59604b14a|GKMGFO+Arial072.5|G243|00f3|oacute
4381794828f242f2ff3c7cb19907330e|GKMGFO+Arial072.5|G248|0159|rcaron
906a26c2de4dcee7655c1c41e589e379|GKMGFO+Arial072.5|G249|016f|uring
31bc9b005297f128b1905495d4b0f498|GKMGFO+Arial072.5|G250|00fa|uacute
997b40f77b4c9a584d006feaff6dd513|GKMGFO+Arial072.5|G253|00fd|yacute
63b83d41a76657ef00f9314b95782762|GKMGAM+Wingdingsb072.5|.notdef|FFFD|notdef
37ff6895154a1707b05c718352d563ea|AINLGB+Wingdings075|.notdef|FFFD|notdef
bf6caa7e982f18a46fc401b06ead1517|GKCMAE+Arial068.313|G68|0044|D
a46f5b8f8588444fff03b403873eca16|GKCMAE+Arial068.313|G69|0045|E
b7484936c3116861a8f6862ffdf96c25|GKCMAE+Arial068.313|G70|0046|F
c79d13bc76aa4d01efd952c4a201aefd|GKCMAE+Arial068.313|G71|0047|G
77c581206c6af9c1eb8565d762e37364|GKCMAE+Arial068.313|G72|0048|H
d0d96eab3218f14c454e0b53ecb86c0c|GKCMAE+Arial068.313|G73|0049|I
8285f85bb4dec6c036bf63fda2437dd5|GKCMAE+Arial068.313|G74|004a|J
40f9623d15172fba8b1b74de25fe466a|GKCMAE+Arial068.313|G75|004b|K
e9268cf9cf12bc792364404569338c27|GKCMAE+Arial068.313|G76|004c|L
f04e28b05cbb6799a6eaff3cddd26372|GKCMAE+Arial068.313|G77|004d|M
76c056cac856ded78e4a7cbcf4ddf387|GKCMAE+Arial068.313|G78|004e|N
381549356e62a5ae8da364245e98a87b|GKCMAE+Arial068.313|G79|004f|O
064a1cb7e58d7846367edc0db441810a|GKCMAE+Arial068.313|G80|0050|P
90dddae6c18405499ee20a0f39d1e1fb|GKCMAE+Arial068.313|G82|0052|R
ec7b3ffd905b705b9250c78ce1267152|GKCMAE+Arial068.313|G83|0053|S
b26a2b285dfcbcbd1405c5aae169fe9d|GKCMAE+Arial068.313|G84|0054|T
35f38d48ca3ed3cb1712d453d892e1fc|GKCMAE+Arial068.313|G85|0055|U
3b973dea4721d9991a6d9efd51763c0b|GKCMAE+Arial068.313|G86|0056|V
abbb705a51f1d775e1014865f99e1cdb|GKCMAE+Arial068.313|G90|005a|Z
456540682efc077deeb16137b80ea32f|GKCMAE+Arial068.313|G97|0061|a
1b5cba9e9befe2fc4a623a34a127ea60|GKCMAE+Arial068.313|G98|0062|b
0c079e07a4e0405fe0a458f86e70faaa|GKCMAE+Arial068.313|G99|0063|c
